Order Date,State,Category,Sales,Quantity,Profit,Discount (%),Customer Rating
2023-10-22,Punjab,Electronics,43396.67,9,10757.34,5,4.2
2023-11-30,West Bengal,Sports,47862.55,6,8418.77,15,5.0
2023-08-29,Uttar Pradesh,Beauty,31987.31,11,3295.08,5,4.0
2023-12-22,West Bengal,Sports,85822.69,13,17252.18,15,3.6
2023-05-10,Uttar Pradesh,Furniture,90828.78,13,23750.27,0,4.5
2023-10-05,West Bengal,Beauty,3813.74,2,608.64,15,4.4
2023-01-27,Tamil Nadu,Sports,26686.79,18,3825.99,25,4.2
2023-01-15,Haryana,Groceries,16983.76,6,1409.79,15,3.6
2023-02-28,West Bengal,Furniture,21189.08,5,5035.64,20,4.6
2023-08-01,Odisha,Home Appliances,37247.71,16,7497.16,15,3.8
2023-11-03,Kerala,Clothing,7715.57,3,1958.22,15,4.0
2023-09-17,Gujarat,Electronics,59453.82,10,15710.36,20,5.0
2023-09-08,Odisha,Clothing,68090.31,15,10617.14,20,4.6
2023-07-13,West Bengal,Books,54990.67,7,7288.31,15,3.9
2023-07-30,Maharashtra,Books,92627.35,16,23945.09,15,5.0
2023-11-30,Delhi,Home Appliances,2893.69,2,846.05,10,4.8
2023-08-14,Karnataka,Home Appliances,5918.33,1,1007.27,25,5.0
2023-02-08,West Bengal,Sports,56918.9,11,9530.86,0,4.8
2023-12-12,Odisha,Beauty,57210.93,11,15746.54,15,4.8
2023-01-19,Punjab,Furniture,41869.66,8,11832.55,5,4.6
2023-08-11,Karnataka,Furniture,26216.04,15,3824.46,0,3.6
2023-01-29,Gujarat,Books,44761.81,12,5985.7,15,4.3
2023-04-03,Delhi,Clothing,15213.57,3,2497.46,25,3.9
2023-10-26,Delhi,Groceries,79264.27,15,14355.2,25,3.5
2023-08-27,Telangana,Sports,30326.71,18,5373.3,10,5.0
2023-06-03,Haryana,Beauty,35336.42,9,5175.61,15,4.8
2023-02-24,Tamil Nadu,Beauty,60651.68,19,8800.07,25,3.9
2023-12-04,Rajasthan,Sports,4744.47,1,1095.38,25,5.0
2023-11-07,Madhya Pradesh,Home Appliances,63180.57,10,8253.03,10,3.8
2023-04-08,Punjab,Sports,26059.3,5,7264.0,25,3.6
2023-08-14,Maharashtra,Books,5880.0,5,852.15,25,4.1
2023-04-13,Delhi,Books,72478.83,17,10143.85,5,3.9
2023-09-04,Bihar,Sports,71849.18,11,13150.76,0,3.7
2023-04-26,Odisha,Beauty,58379.63,18,14825.51,0,3.9
2023-03-05,West Bengal,Books,43957.81,9,11469.99,10,3.7
2023-04-30,West Bengal,Electronics,142635.23,20,29027.64,20,3.8
2023-02-02,Haryana,Home Appliances,53692.96,10,5673.67,0,4.9
2023-06-05,West Bengal,Furniture,9044.0,4,1793.07,15,4.2
2023-12-10,Madhya Pradesh,Beauty,115273.33,19,13140.59,15,4.5
2023-09-08,Punjab,Beauty,6708.35,9,1083.51,15,4.2
2023-05-01,Odisha,Books,31427.83,4,5054.03,25,4.0
2023-07-23,Gujarat,Groceries,30470.32,4,7962.57,0,4.5
2023-11-25,Haryana,Electronics,12801.92,2,1710.15,5,4.7
2023-04-16,Karnataka,Groceries,40273.07,19,10927.41,10,4.7
2023-11-02,Maharashtra,Sports,39532.27,5,7860.89,5,3.7
2023-01-14,Delhi,Electronics,77098.62,12,10203.61,10,3.5
2023-05-16,Maharashtra,Clothing,62238.98,14,15189.2,15,4.2
2023-07-05,Kerala,Furniture,64181.85,15,18483.82,0,4.6
2023-12-04,Kerala,Sports,79875.83,15,6937.47,15,4.8
2023-08-07,Haryana,Furniture,93488.16,16,16601.97,0,4.0
2023-03-17,Karnataka,Clothing,46641.43,9,9737.81,25,4.0
2023-11-02,Kerala,Sports,64374.5,15,11242.61,25,3.7
2023-12-02,Haryana,Groceries,54413.27,14,7088.34,10,4.7
2023-07-24,Rajasthan,Furniture,40708.03,11,9213.19,10,4.9
2023-12-18,Telangana,Home Appliances,3552.56,3,350.92,15,3.6
2023-07-10,Bihar,Clothing,17097.43,18,4966.08,20,4.0
2023-03-04,Rajasthan,Books,98149.68,14,23421.79,10,4.4
2023-06-30,Karnataka,Groceries,27127.61,5,3508.52,0,4.0
2023-10-12,Uttar Pradesh,Furniture,43251.75,9,11141.16,20,5.0
2023-11-15,Punjab,Electronics,149362.64,20,39204.91,10,3.5
2023-05-20,Madhya Pradesh,Sports,34459.43,11,4132.0,5,4.3
2023-07-25,Karnataka,Clothing,1188.18,1,233.72,15,4.1
2023-06-24,Delhi,Books,59119.7,10,14833.36,20,4.4
2023-01-27,Delhi,Clothing,17464.37,20,1710.6,15,4.5
2023-09-06,Punjab,Home Appliances,35682.52,14,8781.02,0,4.0
2023-02-26,Gujarat,Home Appliances,93559.4,17,8419.58,15,5.0
2023-01-29,Maharashtra,Groceries,75899.31,10,18885.03,10,3.9
2023-03-03,Maharashtra,Home Appliances,25447.95,14,4164.45,25,3.8
2023-10-14,Odisha,Books,10434.1,3,2538.09,15,3.5
2023-02-09,Odisha,Books,70673.01,19,11941.83,25,4.1
2023-02-28,Rajasthan,Electronics,19679.54,11,5677.06,15,4.7
2023-07-05,Karnataka,Beauty,9299.49,4,1948.72,20,3.6
2023-06-08,Madhya Pradesh,Books,23984.12,8,2805.88,20,4.4
2023-09-29,Kerala,Groceries,37598.98,12,10934.13,25,4.7
2023-05-01,Karnataka,Clothing,17815.85,9,3786.36,25,3.6
2023-11-18,West Bengal,Home Appliances,117782.49,19,21054.7,20,4.5
2023-11-16,Uttar Pradesh,Books,18991.11,5,3478.46,25,4.0
2023-05-21,Punjab,Electronics,51660.32,12,7660.69,15,3.6
2023-07-08,Odisha,Sports,16005.0,3,4721.81,0,4.4
2023-09-17,Rajasthan,Home Appliances,88490.08,19,22494.17,0,4.2
2023-10-20,Haryana,Groceries,55412.98,11,10545.13,0,4.2
2023-06-25,Madhya Pradesh,Furniture,90881.2,17,8053.1,25,4.2
2023-08-13,Kerala,Clothing,39556.68,12,5626.41,15,4.7
2023-12-14,Punjab,Electronics,10937.73,11,1102.43,25,4.1
2023-05-10,Madhya Pradesh,Clothing,12223.91,11,2762.54,10,4.0
2023-12-02,Madhya Pradesh,Beauty,24814.05,5,7105.76,10,4.3
2023-11-26,Bihar,Books,27629.36,5,7249.14,25,5.0
2023-09-27,Karnataka,Beauty,54633.08,17,8728.81,5,4.9
2023-06-24,Bihar,Home Appliances,15393.51,7,1697.36,0,3.9
2023-02-21,Kerala,Electronics,77802.4,11,16802.74,20,4.1
2023-03-25,Delhi,Clothing,12415.4,15,1988.28,25,3.9
2023-08-16,Punjab,Sports,33825.33,15,4485.82,15,4.9
2023-04-10,Uttar Pradesh,Home Appliances,94061.84,15,23627.14,20,4.3
2023-03-24,Odisha,Groceries,30759.78,20,4152.59,25,4.2
2023-07-10,Kerala,Furniture,117023.67,17,16700.9,5,3.9
2023-09-20,Delhi,Beauty,22794.3,3,2937.01,15,4.8
2023-01-14,Rajasthan,Electronics,55445.69,13,7311.69,0,4.1
2023-01-15,Uttar Pradesh,Furniture,70788.9,11,7806.03,10,4.9
2023-08-30,Madhya Pradesh,Clothing,61832.18,16,5018.01,0,3.5
2023-04-21,Odisha,Clothing,135930.5,18,29082.82,15,3.7
2023-05-28,Tamil Nadu,Sports,3432.48,4,591.63,20,4.2
2023-02-26,Odisha,Home Appliances,90408.07,20,19802.09,20,3.9
2023-03-15,Gujarat,Beauty,5111.07,1,679.38,15,3.8
2023-12-09,Karnataka,Books,22951.58,3,4583.39,20,4.3
2023-07-19,Odisha,Home Appliances,10535.06,2,3116.57,10,4.6
2023-07-02,Bihar,Furniture,27701.33,12,6220.69,0,4.7
2023-06-20,Delhi,Electronics,55141.24,12,14280.03,5,4.7
2023-12-17,West Bengal,Home Appliances,39517.4,6,3709.98,15,3.6
2023-04-14,Maharashtra,Groceries,5733.94,2,849.87,15,5.0
2023-10-06,West Bengal,Sports,12299.36,2,1501.05,10,4.8
2023-01-25,Odisha,Books,12902.06,9,2076.77,15,4.6
2023-07-17,Uttar Pradesh,Clothing,91048.22,16,14642.04,20,3.9
2023-02-12,Madhya Pradesh,Beauty,11188.66,3,3344.53,5,4.3
2023-06-14,Karnataka,Furniture,60025.84,11,8849.55,20,4.6
2023-03-27,Madhya Pradesh,Home Appliances,46241.67,12,11093.34,10,4.4
2023-08-11,Gujarat,Electronics,16601.64,3,2811.76,20,4.7
2023-12-14,Delhi,Electronics,34325.1,5,7866.61,15,3.6
2023-02-04,Tamil Nadu,Books,40456.9,12,8285.32,20,3.7
2023-08-19,Uttar Pradesh,Books,93347.0,15,19254.01,20,4.1
2023-06-10,Haryana,Sports,61631.2,8,5281.85,5,4.2
2023-07-18,Telangana,Furniture,56810.1,9,13344.03,5,5.0
2023-05-27,Madhya Pradesh,Home Appliances,9938.46,7,2659.75,15,3.8
2023-08-16,Karnataka,Books,69858.64,12,14041.54,10,4.8
2023-03-22,Madhya Pradesh,Clothing,51788.02,12,5525.77,5,4.7
2023-05-02,Bihar,Home Appliances,3206.72,1,660.27,15,4.7
2023-10-10,Delhi,Furniture,8459.04,3,2536.96,25,4.2
2023-07-30,Bihar,Beauty,20009.48,19,5881.26,25,3.6
2023-08-27,Haryana,Books,35423.51,5,8914.6,25,4.4
2023-03-08,Rajasthan,Electronics,17543.06,4,2577.21,5,4.0
2023-12-30,Tamil Nadu,Books,122603.05,17,32625.34,10,3.8
2023-10-10,Gujarat,Clothing,51082.12,10,5136.52,25,3.8
2023-10-25,Delhi,Clothing,118094.92,20,25169.64,20,3.6
2023-01-15,Karnataka,Electronics,47213.47,19,5966.74,20,4.1
2023-11-24,Maharashtra,Home Appliances,48105.67,18,13972.92,15,3.9
2023-12-17,Rajasthan,Sports,15709.47,15,1463.82,15,4.1
2023-08-26,Tamil Nadu,Books,31550.3,20,8503.65,10,4.6
2023-06-26,Rajasthan,Clothing,52348.21,12,5410.74,5,4.2
2023-05-17,West Bengal,Groceries,6130.44,5,881.84,15,4.8
2023-08-03,Tamil Nadu,Clothing,82534.5,11,19696.71,5,4.6
2023-09-13,Kerala,Home Appliances,113489.08,16,21497.27,0,4.9
2023-09-16,West Bengal,Groceries,34125.57,7,3095.35,10,4.2
2023-12-01,Haryana,Home Appliances,45251.81,10,12054.08,15,3.7
2023-05-16,Madhya Pradesh,Books,42178.89,13,7091.45,20,4.3
2023-07-05,Kerala,Sports,10192.85,3,1825.31,20,3.9
2023-11-16,Haryana,Furniture,39065.61,5,6510.63,10,4.3
2023-07-07,Bihar,Clothing,35129.3,7,5912.44,0,3.6
2023-03-12,Madhya Pradesh,Books,70319.93,16,7929.76,20,3.7
2023-11-10,Uttar Pradesh,Clothing,103085.03,13,25013.61,10,4.4
2023-09-17,Odisha,Home Appliances,52220.16,19,13549.29,10,4.0
2023-02-26,Rajasthan,Sports,4976.82,1,688.87,25,4.7
2023-10-24,Punjab,Groceries,9752.85,2,1146.08,25,4.6
2023-07-14,Delhi,Groceries,9588.55,2,2244.82,5,3.5
2023-06-10,Rajasthan,Clothing,79502.53,14,13537.93,20,4.9
2023-02-01,Madhya Pradesh,Clothing,34936.07,17,5293.2,25,4.2
2023-07-12,Uttar Pradesh,Clothing,110113.97,15,17102.01,10,4.5
2023-12-15,Haryana,Sports,82627.02,20,24012.59,10,4.3
2023-04-26,Gujarat,Sports,39737.6,7,7454.01,15,4.0
2023-05-21,Gujarat,Furniture,105918.67,19,17321.17,15,4.7
2023-03-16,Gujarat,Electronics,76648.53,10,7464.53,15,4.5
2023-09-03,Tamil Nadu,Groceries,45602.92,18,9286.76,10,3.7
2023-11-12,Madhya Pradesh,Groceries,7045.93,8,1966.8,5,4.5
2023-01-27,Karnataka,Beauty,64682.04,11,6605.32,5,3.5
2023-10-09,Telangana,Clothing,75553.74,14,20682.27,15,4.2
2023-04-13,Bihar,Sports,29046.77,11,2701.81,0,4.5
2023-04-29,Kerala,Electronics,21804.82,6,5762.43,0,5.0
2023-07-23,Bihar,Home Appliances,45147.39,6,13168.09,10,4.8
2023-01-05,Gujarat,Furniture,28976.34,11,8623.41,20,4.3
2023-03-10,Odisha,Home Appliances,17514.77,9,1835.24,5,4.6
2023-11-28,Gujarat,Clothing,6024.63,1,1530.07,20,4.5
2023-04-09,Delhi,Beauty,61104.47,14,6054.37,25,3.6
2023-03-13,West Bengal,Books,4409.81,8,724.91,15,4.6
2023-06-18,Gujarat,Electronics,48623.63,9,11300.57,0,4.5
2023-08-27,Gujarat,Clothing,73392.18,13,20776.1,25,4.7
2023-12-20,Karnataka,Sports,61316.29,12,7861.26,5,4.2
2023-08-21,Madhya Pradesh,Books,80703.78,14,22662.86,20,4.7
2023-04-22,Bihar,Groceries,140970.26,20,13816.7,15,4.3
2023-07-05,Karnataka,Furniture,13431.61,2,3742.52,5,4.4
2023-03-18,Delhi,Books,64834.67,17,14890.25,25,4.4
2023-02-16,Telangana,Home Appliances,7801.48,2,1505.02,15,4.3
2023-10-14,West Bengal,Sports,3469.62,1,900.78,25,3.8
2023-02-07,Maharashtra,Beauty,69034.64,12,13741.76,0,4.9
2023-02-05,Telangana,Home Appliances,5306.36,2,634.62,5,4.6
2023-11-27,Rajasthan,Books,50232.37,13,14153.74,15,4.1
2023-12-16,Haryana,Clothing,16676.99,12,4976.85,15,4.3
2023-04-25,Odisha,Electronics,7838.68,1,1425.55,25,4.3
2023-09-30,Rajasthan,Groceries,31637.52,8,3610.69,5,4.9
2023-02-27,Maharashtra,Beauty,124908.02,20,34278.07,0,3.9
2023-02-04,Karnataka,Electronics,74750.8,15,17545.73,0,3.9
2023-01-23,Rajasthan,Home Appliances,36385.59,8,8949.58,0,3.7
2023-05-29,Tamil Nadu,Books,94703.27,19,21588.28,10,3.9
2023-03-15,Haryana,Groceries,38552.6,14,3601.22,20,4.8
2023-03-31,Haryana,Beauty,75908.81,18,22309.89,25,4.5
2023-09-26,Uttar Pradesh,Beauty,22667.85,14,3690.81,20,4.2
2023-04-26,Gujarat,Clothing,110408.38,15,22492.94,15,4.3
2023-03-10,Rajasthan,Groceries,18225.23,9,4051.02,15,4.8
2023-02-17,Kerala,Groceries,5026.92,2,1147.18,20,3.6
2023-02-07,Tamil Nadu,Groceries,33066.69,16,9243.7,10,4.9
2023-01-08,Tamil Nadu,Groceries,24406.38,4,6002.82,5,4.5
2023-12-27,Tamil Nadu,Beauty,37124.76,8,9303.95,15,4.2
2023-11-29,Uttar Pradesh,Sports,28776.01,9,7890.92,15,3.6
2023-08-29,Bihar,Books,22962.01,7,3927.99,20,4.8
2023-03-16,Maharashtra,Sports,135192.36,18,28040.44,15,3.9
2023-04-11,Uttar Pradesh,Groceries,62054.48,13,8319.06,20,4.5
2023-12-17,Uttar Pradesh,Sports,123980.99,16,27421.22,15,4.2
2023-06-30,Delhi,Clothing,74922.7,18,21107.06,20,5.0
2023-01-31,Kerala,Electronics,22766.73,3,5168.22,0,4.1
2023-11-19,Tamil Nadu,Furniture,2842.8,5,543.72,10,3.6
2023-11-23,Haryana,Home Appliances,9887.81,16,1948.76,15,3.5
2023-09-29,Madhya Pradesh,Sports,140959.71,18,11808.39,25,4.5
2023-04-02,Karnataka,Furniture,27484.43,17,3359.29,20,3.9
2023-07-01,Gujarat,Beauty,9893.66,3,1675.25,20,3.9
2023-12-23,Tamil Nadu,Sports,16209.05,3,4357.13,0,3.6
2023-07-14,Rajasthan,Home Appliances,10551.22,2,2475.59,0,4.2
2023-08-11,Haryana,Books,148769.41,19,43774.62,20,4.9
2023-04-28,Tamil Nadu,Home Appliances,7642.93,9,736.45,10,4.8
2023-10-16,Haryana,Electronics,44794.49,6,6682.74,5,4.4
2023-12-31,Odisha,Beauty,8233.73,3,1680.26,20,4.8
2023-07-19,Haryana,Books,80171.9,13,8882.18,25,4.6
2023-09-14,Madhya Pradesh,Books,2465.29,2,323.13,0,4.0
2023-11-11,Punjab,Beauty,7944.12,11,1113.22,15,4.2
2023-07-02,Kerala,Beauty,26502.47,14,5536.17,15,3.6
2023-11-13,Gujarat,Groceries,3345.86,3,381.19,25,4.7
2023-03-20,Madhya Pradesh,Beauty,35257.77,11,3530.52,10,4.2
2023-05-19,Karnataka,Clothing,5716.32,3,1021.77,20,4.3
2023-02-22,Maharashtra,Furniture,55879.78,12,11808.71,10,4.8
2023-01-07,Gujarat,Beauty,82468.99,13,19748.49,20,4.9
2023-05-05,Punjab,Clothing,23026.42,13,3204.41,10,4.2
2023-02-02,Delhi,Beauty,32924.41,9,6141.42,0,4.0
2023-05-07,Madhya Pradesh,Home Appliances,102500.32,20,18524.84,5,4.0
2023-07-22,Uttar Pradesh,Beauty,41818.39,11,7307.16,25,5.0
2023-03-11,Gujarat,Books,152091.84,20,18887.88,10,3.8
2023-07-23,Uttar Pradesh,Sports,124131.57,16,31285.42,10,4.1
2023-07-21,Uttar Pradesh,Furniture,37971.51,19,11368.6,5,4.5
2023-10-09,Maharashtra,Home Appliances,26518.89,7,3821.18,25,3.6
2023-07-29,Haryana,Home Appliances,26250.1,5,3497.69,25,3.7
2023-08-05,Bihar,Beauty,11604.0,3,2454.77,20,4.1
2023-09-17,Telangana,Beauty,13963.3,18,4092.0,25,4.8
2023-10-02,Punjab,Furniture,25068.62,4,5632.23,10,3.7
2023-11-10,Maharashtra,Beauty,85171.63,11,14879.5,0,3.6
2023-04-24,Kerala,Groceries,49588.45,15,9018.85,25,4.4
2023-09-14,Delhi,Books,4120.78,1,597.49,0,3.7
2023-03-14,Uttar Pradesh,Sports,43064.94,11,5405.12,15,4.0
2023-02-19,West Bengal,Home Appliances,11041.88,11,991.9,25,3.7
2023-06-25,Haryana,Furniture,44846.51,6,10893.56,20,3.8
2023-03-23,Uttar Pradesh,Beauty,33583.75,15,5679.36,5,3.8
2023-12-03,Rajasthan,Beauty,6030.41,1,1654.03,15,4.4
2023-07-19,Maharashtra,Groceries,18113.1,7,4253.45,0,4.4
2023-10-02,Delhi,Books,21758.63,11,2286.18,25,4.8
2023-09-28,Haryana,Books,68295.89,20,11361.68,0,4.0
2023-08-23,Punjab,Clothing,73901.19,10,15507.21,25,3.7
2023-03-02,Tamil Nadu,Sports,7491.34,4,1742.16,20,4.1
2023-11-02,Delhi,Beauty,26504.14,14,5825.88,25,4.9
2023-03-30,Kerala,Clothing,42660.17,16,5168.78,15,4.4
2023-07-03,Maharashtra,Home Appliances,9817.32,5,1614.63,20,4.3
2023-09-11,Rajasthan,Home Appliances,81564.95,14,14489.8,5,3.6
2023-01-16,Bihar,Groceries,7452.13,10,964.79,10,3.8
2023-08-23,Punjab,Home Appliances,77958.81,18,16059.29,10,4.7
2023-07-07,Kerala,Electronics,68964.74,15,20534.3,0,4.6
2023-12-01,Bihar,Groceries,70610.74,10,6149.54,10,4.0
2023-02-14,West Bengal,Furniture,16592.69,8,4019.99,25,4.0
2023-12-30,Punjab,Beauty,30726.8,6,7763.64,5,4.7
2023-10-19,Uttar Pradesh,Sports,90815.28,20,13731.62,25,3.9
2023-10-21,Gujarat,Furniture,38603.95,5,9761.09,0,5.0
2023-12-02,Delhi,Clothing,12774.61,8,1927.19,5,4.6
2023-12-13,Rajasthan,Home Appliances,24153.46,5,3360.18,15,4.1
2023-02-08,Haryana,Furniture,56772.31,13,8016.8,10,4.2
2023-09-07,Uttar Pradesh,Electronics,17945.97,3,3245.69,25,4.5
2023-02-02,Bihar,Beauty,54326.75,7,14204.62,15,3.9
2023-05-26,Uttar Pradesh,Clothing,130970.22,19,33191.36,25,4.6
2023-01-24,Karnataka,Home Appliances,1431.78,1,384.7,15,4.2
2023-08-08,Tamil Nadu,Clothing,16923.31,10,4826.52,10,3.6
2023-07-04,Gujarat,Furniture,65805.79,12,14658.93,0,4.1
2023-06-06,Madhya Pradesh,Groceries,75825.95,14,17804.96,0,3.8
2023-02-09,Delhi,Groceries,95197.8,17,7810.33,25,4.0
2023-03-03,Odisha,Beauty,20413.76,5,2661.31,0,4.6
